UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0030051P;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;77;Apprentissage;1;32031212;32031212;FAUX;32211031212
0030051P;BTS - Services - Services informatiques aux organisations;32211032612;316;Scolaire;24;32032612;32032612;FAUX;32211032612
0030051P;BTS - Services - Support à l'action managériale;32211032409;156;Scolaire;18;32032409;32032409;FAUX;32211032409
0030051P;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;21;Apprentissage;3;32032409;32032409;FAUX;32211032409
0030094L;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;100;Scolaire;19;32021014;32021014;FAUX;32212021014
0030094L;BTS - Agricole - Développement, animation des territoires ruraux;32212030001;195;Scolaire;19;32030001;32030001;FAUX;32212030001
0030124U;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;72;Apprentissage;20;32031213;32031213;FAUX;32211031213
0030124U;BTS - Services - Métiers de la coiffure - en apprentissage;32211033607;8;Apprentissage;10;32033607;32033607;FAUX;32211033607
0030124U;BTS - Services - Métiers des Services à l'environnement - en apprentissage;32211034304;7;Apprentissage;15;32034304;32034304;FAUX;32211034304
0030124U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;38;Apprentissage;20;32031212;32031212;FAUX;32211031212
0030126W;BTS - Production - Bâtiment - en apprentissage;32211023012;37;Apprentissage;8;32023012;32023012;FAUX;32211023012
