UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0313029Z;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;205;Apprentissage;100
0691654Y;BTS - Production - Management économique de la construction - en apprentissage;32211023013;46;Apprentissage;12
0010006B;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;115;Apprentissage;12
0752376A;BTS - Services - Tourisme - en apprentissage;32211033426;731;Apprentissage;100
0694179T;BTS - Production - Bâtiment - en apprentissage;32211023012;169;Apprentissage;12
0694179T;BTS - Production - Travaux publics - en apprentissage;32211023206;157;Apprentissage;16
0763548U;BTS - Services - Assurance - en apprentissage;32211031311;192;Apprentissage;25
0762624P;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;626;Apprentissage;30
0820016X;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;80;Apprentissage;4
0341651K;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;186;Apprentissage;25
0772319C;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;32211022709;37;Apprentissage;14
9711278M;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production - en apprentissage;32211032328;6;Apprentissage;1
0755544U;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033608;169;Apprentissage;20
0755544U;BTS - Services - Métiers de la coiffure - en apprentissage;32211033607;51;Apprentissage;24
0751698N;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;188;Apprentissage;20
0751698N;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;158;Apprentissage;20
0751698N;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;262;Apprentissage;40
0755453V;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;276;Apprentissage;126
0451335G;BTS - Services - Diététique;32211033103;410;Scolaire;32
0420979L;BTS - Services - Professions immobilières - en apprentissage;32211031309;370;Apprentissage;15
