UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0672959C,BTS - Services - Professions immobilières - en apprentissage,32211031312,92.0,Apprentissage,15.0
0672877N,BTS - Services - Communication - en apprentissage,32211032003,105.0,Apprentissage,15.0
0672877N,BTS - Services - Tourisme - en apprentissage,32211033426,194.0,Apprentissage,15.0
0030935A,BTS - Services - Banque ,32211031313,102.0,Scolaire,18.0
0851461B,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,150.0,Apprentissage,40.0
0851461B,BTS - Services - Gestion de la PME - en apprentissage,32211031409,67.0,Apprentissage,40.0
0134296Z,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,71.0,Apprentissage,20.0
0134296Z,BTS - Services - Gestion des transports et logistique associée - en apprentissage,32211031103,75.0,Apprentissage,20.0
0142468G,BTS - Services - Comptabilité et gestion - en apprentissage,32211031408,44.0,Apprentissage,25.0
0261505V,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage",32211020116,143.0,Apprentissage,3.0
0442770X,BTS - Services - Opticien-Lunetier - en apprentissage,32211033107,107.0,Apprentissage,24.0
0920171L,BTS - Production - Electrotechnique - en apprentissage,32211025520,488.0,Apprentissage,12.0
0731519E,BTS - Services - Gestion de la PME - en apprentissage,32211031409,25.0,Apprentissage,24.0
0731519E,BTS - Services - Tourisme - en apprentissage,32211033426,40.0,Apprentissage,24.0
0510007F,BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage,32211025216,30.0,Apprentissage,10.0
0342189V,BTS - Services - Communication - en apprentissage,32211032003,104.0,Apprentissage,30.0
0420991Z,BTS - Services - Management opérationnel de la sécurité - en apprentissage,32211034401,74.0,Apprentissage,10.0
0313029Z,BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage,32211031216,66.0,Apprentissage,12.0
0691654Y,BTS - Production - Management économique de la construction - en apprentissage,32211023013,39.0,Apprentissage,15.0
0010006B,"BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage",32211022710,88.0,Apprentissage,10.0
0752376A,BTS - Services - Tourisme - en apprentissage,32211033426,831.0,Apprentissage,100.0
